"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"in_out";"sex"
"82";"2000_33_gjerøy";"2000_33";33;"2000_gjerøy";2000;"gjerøy";26;2;1998;"no";NA;"capt";NA;0;67;67;4.20469261939097;1;0
"83";"2000_34_hestmannøy";"2000_34";34;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";NA;"capt";NA;0;121;121;4.79579054559674;1;0
"84";"2000_35_hestmannøy";"2000_35";35;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";"obs";"capt";NA;0;121;121;4.79579054559674;1;1
"85";"2000_36_gjerøy";"2000_36";36;"2000_gjerøy";2000;"gjerøy";26;1;1999;"no";"obs";NA;NA;0;67;67;4.20469261939097;1;1
"86";"1999_37_gjerøy";"1999_37";37;"1999_gjerøy";1999;"gjerøy";26;1;1998;"no";NA;"capt";NA;0;78;78;4.35670882668959;1;1
"87";"1999_38_gjerøy";"1999_38";38;"1999_gjerøy";1999;"gjerøy";26;1;1998;"no";NA;"capt";NA;0;78;78;4.35670882668959;1;0
"88";"1999_39_hestmannøy";"1999_39";39;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;0;154;154;5.03695260241363;1;0
"89";"1999_40_hestmannøy";"1999_40";40;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;1;154;154;5.03695260241363;1;1
"90";"2000_40_hestmannøy";"2000_40";40;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";"obs";"capt";NA;0;121;121;4.79579054559674;1;1
"91";"1999_41_hestmannøy";"1999_41";41;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;0;154;154;5.03695260241363;1;0
"92";"1999_42_myken";"1999_42";42;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;1;37;37;3.61091791264422;0;0
"93";"2000_42_myken";"2000_42";42;"2000_myken";2000;"myken";22;2;1998;"no";NA;"capt";NA;1;31;31;3.43398720448515;0;0
"94";"2001_42_myken";"2001_42";42;"2001_myken";2001;"myken";22;3;1998;"no";"obs";NA;NA;1;38;38;3.63758615972639;0;0
"95";"2002_42_myken";"2002_42";42;"2002_myken";2002;"myken";22;4;1998;"no";"obs";"capt";NA;0;34;34;3.52636052461616;0;0
"96";"1999_43_myken";"1999_43";43;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;0;37;37;3.61091791264422;0;0
"97";"1999_44_myken";"1999_44";44;"1999_myken";1999;"myken";22;1;1998;"no";NA;"capt";NA;1;37;37;3.61091791264422;0;0
