"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_age_sq";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"zNR";"in_out";"sex";"N_nestlings";"N_Recruits";"r2s"
"91";"2009_50_hestmannøy";"2009_50";50;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";"obs";"capt";NA;0;157;157;5.05624580534831;-0.321875;1;0;3;0;0
"92";"2008_51_indre kvarøy";"2008_51";51;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"no";"obs";"capt";NA;0;68;68;4.21950770517611;-0.040625;1;0;3;2;2
"93";"2007_52_indre kvarøy";"2007_52";52;"2007_indre kvarøy";2007;"indre kvarøy";28;0;0;2006;"no";NA;"capt";NA;1;57;57;4.04305126783455;-0.315625;1;0;7;0;2
"94";"2008_52_indre kvarøy";"2008_52";52;"2008_indre kvarøy";2008;"indre kvarøy";28;1;1;2006;"no";"obs";"capt";NA;0;68;68;4.21950770517611;-0.040625;1;0;6;0;0
"95";"2008_53_gjerøy";"2008_53";53;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;0;121;121;4.79579054559674;-0.246875;1;0;1;0;0
"96";"2008_54_gjerøy";"2008_54";54;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";NA;NA;1;121;121;4.79579054559674;-0.246875;1;0;5;1;3
"97";"2009_54_gjerøy";"2009_54";54;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;1;107;107;4.67282883446191;-0.596875;1;0;9;0;2
"98";"2010_54_gjerøy";"2010_54";54;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"no";NA;"capt";NA;1;136;136;4.91265488573605;0.128125;1;0;4;0;2
"99";"2011_54_gjerøy";"2011_54";54;"2011_gjerøy";2011;"gjerøy";26;3;9;2007;"yes";NA;NA;NA;1;144;144;4.969813299576;0.328125;1;0;5;3;5
"100";"2009_55_gjerøy";"2009_55";55;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;1;107;107;4.67282883446191;-0.596875;1;1;1;2;4
"101";"2010_55_gjerøy";"2010_55";55;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"no";NA;"capt";NA;1;136;136;4.91265488573605;0.128125;1;1;1;1;3
"102";"2011_55_gjerøy";"2011_55";55;"2011_gjerøy";2011;"gjerøy";26;3;9;2007;"no";"obs";NA;NA;1;144;144;4.969813299576;0.328125;1;1;1;5;7
"103";"2012_55_gjerøy";"2012_55";55;"2012_gjerøy";2012;"gjerøy";26;4;16;2007;"yes";NA;NA;NA;1;196;196;5.27811465923052;1.628125;1;1;3;0;2
"104";"2013_55_gjerøy";"2013_55";55;"2013_gjerøy";2013;"gjerøy";26;5;25;2007;"no";"obs";"capt";NA;0;168;168;5.12396397940326;0.928125;1;1;2;1;1
"105";"2008_56_gjerøy";"2008_56";56;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;0;121;121;4.79579054559674;-0.246875;1;0;7;2;2
"106";"2009_57_gjerøy";"2009_57";57;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;1;107;107;4.67282883446191;-0.596875;1;0;12;1;3
"107";"2010_57_gjerøy";"2010_57";57;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"no";"obs";"capt";NA;1;136;136;4.91265488573605;0.128125;1;0;7;2;4
"108";"2011_57_gjerøy";"2011_57";57;"2011_gjerøy";2011;"gjerøy";26;3;9;2007;"no";"obs";"capt";NA;1;144;144;4.969813299576;0.328125;1;0;7;2;4
"109";"2012_57_gjerøy";"2012_57";57;"2012_gjerøy";2012;"gjerøy";26;4;16;2007;"no";"obs";"capt";NA;1;196;196;5.27811465923052;1.628125;1;0;6;1;3
"110";"2013_57_gjerøy";"2013_57";57;"2013_gjerøy";2013;"gjerøy";26;5;25;2007;"yes";NA;NA;NA;1;168;168;5.12396397940326;0.928125;1;0;2;0;2
"111";"2014_57_gjerøy";"2014_57";57;"2014_gjerøy";2014;"gjerøy";26;6;36;2007;"no";"obs";"capt";NA;0;67;67;4.20469261939097;-1.596875;1;0;1;0;0
"112";"2008_58_gjerøy";"2008_58";58;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;-0.246875;1;0;3;1;3
"113";"2009_58_gjerøy";"2009_58";58;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;0;107;107;4.67282883446191;-0.596875;1;0;4;2;2
"114";"2008_59_gjerøy";"2008_59";59;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;-0.246875;1;0;2;0;2
"115";"2009_59_gjerøy";"2009_59";59;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;1;107;107;4.67282883446191;-0.596875;1;0;13;0;2
"116";"2010_59_gjerøy";"2010_59";59;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"no";"obs";NA;NA;1;136;136;4.91265488573605;0.128125;1;0;7;3;5
"117";"2011_59_gjerøy";"2011_59";59;"2011_gjerøy";2011;"gjerøy";26;3;9;2007;"no";"obs";"capt";NA;1;144;144;4.969813299576;0.328125;1;0;8;0;2
"118";"2012_59_gjerøy";"2012_59";59;"2012_gjerøy";2012;"gjerøy";26;4;16;2007;"gene_new";NA;NA;"gene_new";0;196;196;5.27811465923052;1.628125;1;0;2;0;0
"119";"2008_60_gjerøy";"2008_60";60;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;0;121;121;4.79579054559674;-0.246875;1;0;1;0;0
"120";"2008_61_gjerøy";"2008_61";61;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;-0.246875;1;0;3;0;2
"121";"2009_61_gjerøy";"2009_61";61;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;0;107;107;4.67282883446191;-0.596875;1;0;8;4;4
"122";"2011_62_gjerøy";"2011_62";62;"2011_gjerøy";2011;"gjerøy";26;3;9;2007;"no";"obs";"capt";NA;1;144;144;4.969813299576;0.328125;1;1;4;0;2
"123";"2012_62_gjerøy";"2012_62";62;"2012_gjerøy";2012;"gjerøy";26;4;16;2007;"no";"obs";NA;NA;0;196;196;5.27811465923052;1.628125;1;1;1;0;0
"124";"2008_63_gjerøy";"2008_63";63;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;0;121;121;4.79579054559674;-0.246875;1;0;4;1;1
"125";"2007_64_sleneset";"2007_64";64;"2007_sleneset";2007;"sleneset";35;5;25;2001;"gene_new";NA;NA;"gene_new";0;52;52;3.95124371858143;0.334375;0;1;6;0;0
"126";"2007_65_indre kvarøy";"2007_65";65;"2007_indre kvarøy";2007;"indre kvarøy";28;4;16;2002;"no";"obs";NA;NA;0;57;57;4.04305126783455;-0.315625;1;0;2;0;0
"127";"2009_66_selvær";"2009_66";66;"2009_selvær";2009;"selvær";24;6;36;2002;"gene_new";NA;NA;"gene_new";0;45;45;3.80666248977032;-0.35625;0;1;2;0;0
"128";"2007_67_indre kvarøy";"2007_67";67;"2007_indre kvarøy";2007;"indre kvarøy";28;4;16;2002;"no";"obs";NA;NA;1;57;57;4.04305126783455;-0.315625;1;1;1;0;2
