"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"sex";"Own_survival";"N_Recruits";"r2s";"estimated_pop_size";"in_out";"n";"N";"Mean_N_isl";"zNR"
"76";"2001_32_hestmannøy";"2001_32";32;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";"obs";NA;NA;1;1;0;2;141;1;4.94875989037817;141;145.181818181818;-0.104545454545455
"77";"2002_32_hestmannøy";"2002_32";32;"2002_hestmannøy";2002;"hestmannøy";27;4;1998;"no";NA;"capt";NA;1;1;2;4;81;1;4.39444915467244;81;145.181818181818;-1.60454545454545
"78";"2003_32_hestmannøy";"2003_32";32;"2003_hestmannøy";2003;"hestmannøy";27;5;1998;"yes";NA;NA;NA;1;1;0;2;191;1;5.25227342804663;191;145.181818181818;1.14545454545455
"79";"2004_32_hestmannøy";"2004_32";32;"2004_hestmannøy";2004;"hestmannøy";27;6;1998;"no";NA;"capt";NA;1;1;2;4;88;1;4.47733681447821;88;145.181818181818;-1.42954545454545
"80";"2005_32_hestmannøy";"2005_32";32;"2005_hestmannøy";2005;"hestmannøy";27;7;1998;"no";NA;"capt";NA;1;0;1;1;166;1;5.11198778835654;166;145.181818181818;0.520454545454545
"81";"1999_33_gjerøy";"1999_33";33;"1999_gjerøy";1999;"gjerøy";26;1;1998;"no";NA;"capt";NA;0;1;0;2;78;1;4.35670882668959;78;82.1363636363636;-0.103409090909091
"82";"2000_33_gjerøy";"2000_33";33;"2000_gjerøy";2000;"gjerøy";26;2;1998;"no";NA;"capt";NA;0;0;3;3;67;1;4.20469261939097;67;82.1363636363636;-0.378409090909091
"83";"2000_34_hestmannøy";"2000_34";34;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";NA;"capt";NA;0;0;0;0;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"84";"2000_35_hestmannøy";"2000_35";35;"2000_hestmannøy";2000;"hestmannøy";27;1;1999;"no";"obs";"capt";NA;1;0;0;0;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"85";"2000_36_gjerøy";"2000_36";36;"2000_gjerøy";2000;"gjerøy";26;1;1999;"no";"obs";NA;NA;1;0;0;0;67;1;4.20469261939097;67;82.1363636363636;-0.378409090909091
"86";"1999_37_gjerøy";"1999_37";37;"1999_gjerøy";1999;"gjerøy";26;1;1998;"no";NA;"capt";NA;1;0;1;1;78;1;4.35670882668959;78;82.1363636363636;-0.103409090909091
"87";"1999_38_gjerøy";"1999_38";38;"1999_gjerøy";1999;"gjerøy";26;1;1998;"no";NA;"capt";NA;0;0;0;0;78;1;4.35670882668959;78;82.1363636363636;-0.103409090909091
"88";"1999_39_hestmannøy";"1999_39";39;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;0;0;0;0;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"89";"1999_40_hestmannøy";"1999_40";40;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;1;1;0;2;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"90";"2000_40_hestmannøy";"2000_40";40;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";"obs";"capt";NA;1;0;0;0;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"91";"1999_41_hestmannøy";"1999_41";41;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;0;0;0;0;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"92";"1999_42_myken";"1999_42";42;"1999_myken";1999;"myken";22;1;1998;"no";"obs";"capt";NA;0;1;0;2;37;0;3.61091791264422;37;23.2272727272727;0.344318181818182
