"stage";"Year";"Location";"total"
"397";"nest";2000;"gjerøy";69
"398";"nest";2000;"hestmannøy";80
"399";"nest";2000;"indre kvarøy";9
"400";"nest";2000;"nesøy";19
"401";"nest";2001;"aldra";11
"402";"nest";2001;"gjerøy";59
"403";"nest";2001;"hestmannøy";57
"404";"nest";2001;"indre kvarøy";35
"405";"nest";2001;"nesøy";18
"406";"nest";2002;"aldra";27
"407";"nest";2002;"gjerøy";83
"408";"nest";2002;"hestmannøy";109
"409";"nest";2002;"indre kvarøy";54
"410";"nest";2002;"nesøy";13
"411";"nest";2003;"aldra";24
"412";"nest";2003;"gjerøy";44
"413";"nest";2003;"hestmannøy";119
"414";"nest";2003;"indre kvarøy";30
"415";"nest";2003;"lovund";61
"416";"nest";2003;"nesøy";11
"417";"nest";2003;"selvær";49
"418";"nest";2003;"træna";78
"419";"nest";2004;"aldra";22
"420";"nest";2004;"gjerøy";42
"421";"nest";2004;"hestmannøy";109
"422";"nest";2004;"indre kvarøy";22
"423";"nest";2004;"lovund";37
"424";"nest";2004;"myken";19
"425";"nest";2004;"nesøy";39
"426";"nest";2004;"selvær";82
"427";"nest";2004;"sleneset";59
"428";"nest";2004;"træna";79
"429";"nest";2005;"aldra";14
"430";"nest";2005;"gjerøy";28
"431";"nest";2005;"hestmannøy";114
"432";"nest";2005;"indre kvarøy";48
"433";"nest";2005;"lovund";55
"434";"nest";2005;"myken";41
"435";"nest";2005;"nesøy";56
"436";"nest";2005;"selvær";89
"437";"nest";2005;"sleneset";64
"438";"nest";2005;"træna";125
"439";"nest";2006;"aldra";22
"440";"nest";2006;"gjerøy";49
"441";"nest";2006;"hestmannøy";158
"442";"nest";2006;"indre kvarøy";37
"443";"nest";2006;"lovund";36
"444";"nest";2006;"myken";32
"445";"nest";2006;"nesøy";64
"446";"nest";2006;"selvær";74
"447";"nest";2006;"sleneset";49
"448";"nest";2006;"træna";92
"449";"nest";2007;"aldra";11
"450";"nest";2007;"gjerøy";51
"451";"nest";2007;"hestmannøy";178
"452";"nest";2007;"indre kvarøy";42
"453";"nest";2007;"lovund";23
"454";"nest";2007;"myken";22
"455";"nest";2007;"nesøy";44
"456";"nest";2007;"selvær";98
"457";"nest";2007;"sleneset";78
"458";"nest";2007;"træna";163
"459";"nest";2008;"aldra";33
